Start_Date,End_Date,Duration_Days,Mean_Intensity,Max_Intensity,Year
2024-06-14,2024-09-02,81,0.1455375629231377,0.4631175096774171,2024
2024-10-29,2025-01-16,79,0.2124868961572334,0.6199571483870976,2024
2024-01-25,2024-03-08,44,0.1628428858504402,0.3416137032258,2024
2024-04-14,2024-05-24,41,0.5396254408339888,0.9428967677419352,2024
2015-12-08,2016-01-15,39,0.0980785984194082,0.2308253709677394,2015
2020-08-17,2020-09-17,32,0.3014803889112898,0.5959445129032268,2020
2016-04-21,2016-05-22,32,0.2473753332661282,0.4409555774193521,2016
2023-11-03,2023-11-26,24,0.1810391975806458,0.3584447709677434,2023
2015-10-11,2015-11-02,23,0.1582461234221601,0.3434494935483911,2015
2024-09-26,2024-10-12,17,0.1371748707779881,0.2684732903225857,2024
